,Cardiovascular / Pulmonary,Consult - History and Phy.,Discharge Summary,Gastroenterology,General Medicine,Neurology,Obstetrics / Gynecology,Orthopedic,Radiology,SOAP / Chart / Progress Notes,Surgery,Urology
Cardiovascular / Pulmonary,2,1,0,0,2,0,0,0,1,0,0,0
Consult - History and Phy.,0,20,1,0,2,0,0,2,0,3,0,0
Discharge Summary,0,1,2,0,1,0,0,0,0,1,0,0
Gastroenterology,0,3,0,1,2,0,0,0,0,0,0,0
General Medicine,0,8,0,0,21,0,0,0,0,0,0,0
Neurology,0,2,0,0,0,8,0,0,2,2,0,0
Obstetrics / Gynecology,0,1,0,0,0,0,1,0,0,0,1,0
Orthopedic,0,0,0,0,1,0,0,7,0,0,1,0
Radiology,0,1,0,0,0,3,0,0,31,0,1,0
SOAP / Chart / Progress Notes,0,2,0,0,4,0,1,1,0,13,0,0
Surgery,0,0,0,0,1,0,0,0,1,1,136,0
Urology,0,0,0,0,3,0,0,0,0,0,5,16
